Belgrado es la capital de:,Serbia,Suiza,Estonia,Serbia
El río más largo de África es:,Nilo,Rahad,Akobo,Nilo
La capital de Holanda es:,Amsterdam,Helsinki,Berlín,Amsterdam
La capital de Dinamarca es:,Zagreb,Bratislava,Copenhague,Copenhague
¿Dónde se encuentra el Cabo de San Mateo?,Grecia,Francia,España,Francia
Machu Pichu se encuentra en:,Bolivia,Perú,Colombia,Perú
El océano de mayor área de la superficie en kilómetros cuadrados es:,Océano Pacífico,Océano Atlántico,Océano Índico,Océano Pacífico
La capital de Letonia es:,Bishkek,Vilna,Riga,Riga
Ottawa es la capital de:,Canadá,Cuba,Estados Unidos,Canadá
¿Cuál de los siguientes países no tiene frontera con España?,Italia,Francia,Portugal,Italia
¿Cuál es la montaña más alta del mundo?,Kilimanjaro,Monte Kimberley,Monte Everest,Monte Everest
¿Cuál es el país más pobado del mundo?,India,Bangladesh,China,China
¿En qué continente se encuentra Israel?,Europa,Asia,África,Asia
¿Cuántos países hay en el mundo?,192,196,214,196